team,TS_pct,AST,FGM,FTA,FGA,TOV,WEV_v3
DEN,0.603,2147,3149,1872,7228,1188,17.4
MIL,0.598,1995,3283,1986,7376,1218,16.8
LAL,0.593,2089,3294,1996,7340,1196,16.9
CLE,0.607,2014,3211,1745,7245,1184,18.2
IND,0.594,2096,3132,1789,7488,1212,15.9
PHO,0.597,2074,3072,1733,7244,1188,15.4
DAL,0.583,1972,3279,2003,7619,1230,16.2
ATL,0.580,2102,3076,1976,7798,1322,14.8
OKC,0.593,1849,3083,1666,7569,931,18.8
NYK,0.588,2014,3175,1798,7715,1110,17.7
GSW,0.568,2230,3145,1934,7891,1180,14.6
MIN,0.588,2025,3169,1985,7944,1283,16.3
MEM,0.586,2046,3232,1989,7954,1287,15.1
LAC,0.589,1962,3221,1924,7639,1242,15.7
BOS,0.592,2003,3192,1655,7807,1009,18.0
SAS,0.575,2155,3124,1844,7913,1196,15.5
SAC,0.582,1979,3227,1894,8062,1146,14.4
HOU,0.570,1843,3142,1798,7976,1264,15.0
CHI,0.572,1985,3204,1771,8113,1209,12.1
DET,0.564,1851,3138,1817,8123,1252,13.5
ORL,0.564,1772,3081,1813,7855,1198,15.8
TOR,0.561,2073,3056,1745,7905,1300,11.9
PHI,0.581,1832,2925,1786,7402,1099,15.2
BRK,0.557,1880,3013,1614,7889,1175,11.4
WAS,0.558,1908,3041,1714,8035,1248,10.8
MIA,0.575,1939,3035,1672,7600,1196,14.1
NOP,0.563,1801,3055,1734,7913,1268,11.5
POR,0.554,1843,2987,1601,7944,1259,11.0
UTA,0.564,1885,3009,1697,7843,1245,10.6
CHO,0.537,1820,2865,1623,7314,1235,9.4
