rank,team,TS_pct,AST,FGM,FTA,FGA,TOV,SDQ,OPC_team,FFS,TOV_penalty,SDQ_z,OPC_team_z,FFS_z,TOV_penalty_z,PASV_raw,PASV_v0_1
1,DEN,0.6030,2147,3149,1872,7228,1188,0.6030,0.6818,0.2590,0.1644,1.5405,1.4970,1.3551,0.8172,1.0117,10.0000
2,LAL,0.5930,2089,3294,1996,7340,1196,0.5930,0.6342,0.2719,0.1629,0.9276,0.0568,2.0592,0.6826,0.6708,8.4180
3,GSW,0.5680,2230,3145,1934,7891,1180,0.5680,0.7091,0.2451,0.1495,-0.6048,2.3214,0.5987,-0.5898,0.6666,8.3985
4,PHO,0.5970,2074,3072,1733,7244,1188,0.5970,0.6751,0.2392,0.1640,1.1727,1.2952,0.2800,0.7827,0.5891,8.0390
5,IND,0.5940,2096,3132,1789,7488,1212,0.5940,0.6692,0.2389,0.1619,0.9889,1.1164,0.2628,0.5797,0.5255,7.7441
6,MIL,0.5980,1995,3283,1986,7376,1218,0.5980,0.6077,0.2693,0.1651,1.2340,-0.7449,1.9133,0.8902,0.4843,7.5527
7,OKC,0.5930,1849,3083,1666,7569,931,0.5930,0.5997,0.2201,0.1230,0.9276,-0.9849,-0.7605,-3.1086,0.4636,7.4571
8,SAS,0.5750,2155,3124,1844,7913,1196,0.5750,0.6898,0.2330,0.1511,-0.1757,1.7395,-0.0572,-0.4374,0.4553,7.4184
9,CLE,0.6070,2014,3211,1745,7245,1184,0.6070,0.6272,0.2409,0.1634,1.7857,-0.1538,0.3683,0.7282,0.4437,7.3645
10,ATL,0.5800,2102,3076,1976,7798,1322,0.5800,0.6834,0.2534,0.1695,0.1308,1.5439,1.0507,1.3079,0.4263,7.2838
11,BOS,0.5920,2003,3192,1655,7807,1009,0.5920,0.6275,0.2120,0.1292,0.8663,-0.1452,-1.2022,-2.5162,0.4263,7.2837
12,NYK,0.5880,2014,3175,1798,7715,1110,0.5880,0.6343,0.2331,0.1439,0.6211,0.0612,-0.0562,-1.1273,0.4130,7.2223
13,MIN,0.5880,2025,3169,1985,7944,1283,0.5880,0.6390,0.2499,0.1615,0.6211,0.2025,0.8590,0.5462,0.3425,6.8949
14,MEM,0.5860,2046,3232,1989,7954,1287,0.5860,0.6330,0.2501,0.1618,0.4985,0.0223,0.8693,0.5746,0.2575,6.5008
15,PHI,0.5810,1832,2925,1786,7402,1099,0.5810,0.6263,0.2413,0.1485,0.1921,-0.1809,0.3917,-0.6908,0.2485,6.4589
16,SAC,0.5820,1979,3227,1894,8062,1146,0.5820,0.6133,0.2349,0.1421,0.2533,-0.5759,0.0459,-1.2912,0.2017,6.2419
17,DAL,0.5830,1972,3279,2003,7619,1230,0.5830,0.6014,0.2629,0.1614,0.3146,-0.9346,1.5674,0.5398,0.1446,5.9770
18,LAC,0.5890,1962,3221,1924,7639,1242,0.5890,0.6091,0.2519,0.1626,0.6824,-0.7010,0.9673,0.6488,0.1415,5.9626
19,MIA,0.5750,1939,3035,1672,7600,1196,0.5750,0.6389,0.2200,0.1574,-0.1757,0.1988,-0.7664,0.1535,-0.2253,4.2606
20,CHI,0.5720,1985,3204,1771,8113,1209,0.5720,0.6195,0.2183,0.1490,-0.3596,-0.3861,-0.8593,-0.6390,-0.2914,3.9537
21,TOR,0.5610,2073,3056,1745,7905,1300,0.5610,0.6783,0.2207,0.1645,-1.0338,1.3922,-0.7258,0.8259,-0.3087,3.8736
22,UTA,0.5640,1885,3009,1697,7843,1245,0.5640,0.6265,0.2164,0.1587,-0.8499,-0.1770,-0.9638,0.2837,-0.5969,2.5365
23,HOU,0.5700,1843,3142,1798,7976,1264,0.5700,0.5866,0.2254,0.1585,-0.4822,-1.3832,-0.4711,0.2585,-0.6600,2.2440
24,ORL,0.5640,1772,3081,1813,7855,1198,0.5640,0.5751,0.2308,0.1525,-0.8499,-1.7290,-0.1783,-0.3073,-0.6703,2.1958
25,WAS,0.5580,1908,3041,1714,8035,1248,0.5580,0.6274,0.2133,0.1553,-1.2177,-0.1476,-1.1300,-0.0409,-0.6765,2.1671
26,DET,0.5640,1851,3138,1817,8123,1252,0.5640,0.5899,0.2237,0.1541,-0.8499,-1.2835,-0.5658,-0.1539,-0.6865,2.1206
27,BRK,0.5570,1880,3013,1614,7889,1175,0.5570,0.6240,0.2046,0.1489,-1.2790,-0.2523,-1.6049,-0.6464,-0.7187,1.9714
28,NOP,0.5630,1801,3055,1734,7913,1268,0.5630,0.5895,0.2191,0.1602,-0.9112,-1.2938,-0.8135,0.4263,-0.8855,1.1977
29,POR,0.5540,1843,2987,1601,7944,1259,0.5540,0.6170,0.2015,0.1585,-1.4629,-0.4627,-1.7710,0.2594,-1.0491,0.4383
30,CHO,0.5370,1820,2865,1623,7314,1235,0.5370,0.6353,0.2219,0.1689,-2.5048,0.0891,-0.6628,1.2437,-1.1436,0.0000
