delta_SDQ,delta_OPC_team,delta_FFS,delta_TOV_penalty,weight_SDQ,weight_OPC_team,weight_FFS,weight_TOV_penalty,correlation_with_WEVv3
-0.0500,-0.0500,-0.0500,-0.0500,0.2500,0.2000,0.2000,-0.2500,0.8362
-0.0500,-0.0500,-0.0500,0.0000,0.2500,0.2000,0.2000,-0.2000,0.8271
-0.0500,-0.0500,-0.0500,0.0500,0.2500,0.2000,0.2000,-0.1500,0.8092
-0.0500,-0.0500,0.0000,-0.0500,0.2500,0.2000,0.2500,-0.2500,0.8410
-0.0500,-0.0500,0.0000,0.0000,0.2500,0.2000,0.2500,-0.2000,0.8283
-0.0500,-0.0500,0.0000,0.0500,0.2500,0.2000,0.2500,-0.1500,0.8076
-0.0500,-0.0500,0.0500,-0.0500,0.2500,0.2000,0.3000,-0.2500,0.8412
-0.0500,-0.0500,0.0500,0.0000,0.2500,0.2000,0.3000,-0.2000,0.8257
-0.0500,-0.0500,0.0500,0.0500,0.2500,0.2000,0.3000,-0.1500,0.8032
-0.0500,0.0000,-0.0500,-0.0500,0.2500,0.2500,0.2000,-0.2500,0.8009
-0.0500,0.0000,-0.0500,0.0000,0.2500,0.2500,0.2000,-0.2000,0.7889
-0.0500,0.0000,-0.0500,0.0500,0.2500,0.2500,0.2000,-0.1500,0.7692
-0.0500,0.0000,0.0000,-0.0500,0.2500,0.2500,0.2500,-0.2500,0.8082
-0.0500,0.0000,0.0000,0.0000,0.2500,0.2500,0.2500,-0.2000,0.7934
-0.0500,0.0000,0.0000,0.0500,0.2500,0.2500,0.2500,-0.1500,0.7716
-0.0500,0.0000,0.0500,-0.0500,0.2500,0.2500,0.3000,-0.2500,0.8110
-0.0500,0.0000,0.0500,0.0000,0.2500,0.2500,0.3000,-0.2000,0.7940
-0.0500,0.0000,0.0500,0.0500,0.2500,0.2500,0.3000,-0.1500,0.7710
-0.0500,0.0500,-0.0500,-0.0500,0.2500,0.3000,0.2000,-0.2500,0.7640
-0.0500,0.0500,-0.0500,0.0000,0.2500,0.3000,0.2000,-0.2000,0.7498
-0.0500,0.0500,-0.0500,0.0500,0.2500,0.3000,0.2000,-0.1500,0.7289
-0.0500,0.0500,0.0000,-0.0500,0.2500,0.3000,0.2500,-0.2500,0.7737
-0.0500,0.0500,0.0000,0.0000,0.2500,0.3000,0.2500,-0.2000,0.7573
-0.0500,0.0500,0.0000,0.0500,0.2500,0.3000,0.2500,-0.1500,0.7350
-0.0500,0.0500,0.0500,-0.0500,0.2500,0.3000,0.3000,-0.2500,0.7791
-0.0500,0.0500,0.0500,0.0000,0.2500,0.3000,0.3000,-0.2000,0.7611
-0.0500,0.0500,0.0500,0.0500,0.2500,0.3000,0.3000,-0.1500,0.7379
0.0000,-0.0500,-0.0500,-0.0500,0.3000,0.2000,0.2000,-0.2500,0.8500
0.0000,-0.0500,-0.0500,0.0000,0.3000,0.2000,0.2000,-0.2000,0.8411
0.0000,-0.0500,-0.0500,0.0500,0.3000,0.2000,0.2000,-0.1500,0.8245
0.0000,-0.0500,0.0000,-0.0500,0.3000,0.2000,0.2500,-0.2500,0.8531
0.0000,-0.0500,0.0000,0.0000,0.3000,0.2000,0.2500,-0.2000,0.8411
0.0000,-0.0500,0.0000,0.0500,0.3000,0.2000,0.2500,-0.1500,0.8221
0.0000,-0.0500,0.0500,-0.0500,0.3000,0.2000,0.3000,-0.2500,0.8525
0.0000,-0.0500,0.0500,0.0000,0.3000,0.2000,0.3000,-0.2000,0.8380
0.0000,-0.0500,0.0500,0.0500,0.3000,0.2000,0.3000,-0.1500,0.8174
0.0000,0.0000,-0.0500,-0.0500,0.3000,0.2500,0.2000,-0.2500,0.8186
0.0000,0.0000,-0.0500,0.0000,0.3000,0.2500,0.2000,-0.2000,0.8073
0.0000,0.0000,-0.0500,0.0500,0.3000,0.2500,0.2000,-0.1500,0.7891
0.0000,0.0000,0.0000,-0.0500,0.3000,0.2500,0.2500,-0.2500,0.8238
0.0000,0.0000,0.0000,0.0000,0.3000,0.2500,0.2500,-0.2000,0.8100
0.0000,0.0000,0.0000,0.0500,0.3000,0.2500,0.2500,-0.1500,0.7901
0.0000,0.0000,0.0500,-0.0500,0.3000,0.2500,0.3000,-0.2500,0.8253
0.0000,0.0000,0.0500,0.0000,0.3000,0.2500,0.3000,-0.2000,0.8096
0.0000,0.0000,0.0500,0.0500,0.3000,0.2500,0.3000,-0.1500,0.7884
0.0000,0.0500,-0.0500,-0.0500,0.3000,0.3000,0.2000,-0.2500,0.7854
0.0000,0.0500,-0.0500,0.0000,0.3000,0.3000,0.2000,-0.2000,0.7721
0.0000,0.0500,-0.0500,0.0500,0.3000,0.3000,0.2000,-0.1500,0.7529
0.0000,0.0500,0.0000,-0.0500,0.3000,0.3000,0.2500,-0.2500,0.7926
0.0000,0.0500,0.0000,0.0000,0.3000,0.3000,0.2500,-0.2000,0.7774
0.0000,0.0500,0.0000,0.0500,0.3000,0.3000,0.2500,-0.1500,0.7569
0.0000,0.0500,0.0500,-0.0500,0.3000,0.3000,0.3000,-0.2500,0.7963
0.0000,0.0500,0.0500,0.0000,0.3000,0.3000,0.3000,-0.2000,0.7796
0.0000,0.0500,0.0500,0.0500,0.3000,0.3000,0.3000,-0.1500,0.7583
0.0500,-0.0500,-0.0500,-0.0500,0.3500,0.2000,0.2000,-0.2500,0.8603
0.0500,-0.0500,-0.0500,0.0000,0.3500,0.2000,0.2000,-0.2000,0.8514
0.0500,-0.0500,-0.0500,0.0500,0.3500,0.2000,0.2000,-0.1500,0.8360
0.0500,-0.0500,0.0000,-0.0500,0.3500,0.2000,0.2500,-0.2500,0.8623
0.0500,-0.0500,0.0000,0.0000,0.3500,0.2000,0.2500,-0.2000,0.8507
0.0500,-0.0500,0.0000,0.0500,0.3500,0.2000,0.2500,-0.1500,0.8333
0.0500,-0.0500,0.0500,-0.0500,0.3500,0.2000,0.3000,-0.2500,0.8611
0.0500,-0.0500,0.0500,0.0000,0.3500,0.2000,0.3000,-0.2000,0.8474
0.0500,-0.0500,0.0500,0.0500,0.3500,0.2000,0.3000,-0.1500,0.8286
0.0500,0.0000,-0.0500,-0.0500,0.3500,0.2500,0.2000,-0.2500,0.8323
0.0500,0.0000,-0.0500,0.0000,0.3500,0.2500,0.2000,-0.2000,0.8215
0.0500,0.0000,-0.0500,0.0500,0.3500,0.2500,0.2000,-0.1500,0.8047
0.0500,0.0000,0.0000,-0.0500,0.3500,0.2500,0.2500,-0.2500,0.8360
0.0500,0.0000,0.0000,0.0000,0.3500,0.2500,0.2500,-0.2000,0.8230
0.0500,0.0000,0.0000,0.0500,0.3500,0.2500,0.2500,-0.1500,0.8046
