delta_SDQ,delta_OPC_team,delta_FFS,delta_TOV_penalty,weight_SDQ,weight_OPC_team,weight_FFS,weight_TOV_penalty,correlation_with_WEVv3
-0.1500,-0.1500,-0.1500,-0.1500,0.1500,0.1000,0.1000,-0.3500,0.7428
-0.1500,-0.1500,-0.1500,0.0000,0.1500,0.1000,0.1000,-0.2000,0.8391
-0.1500,-0.1500,-0.1500,0.1500,0.1500,0.1000,0.1000,-0.0500,0.8001
-0.1500,-0.1500,0.0000,-0.1500,0.1500,0.1000,0.2500,-0.3500,0.8504
-0.1500,-0.1500,0.0000,0.0000,0.1500,0.1000,0.2500,-0.2000,0.8660
-0.1500,-0.1500,0.0000,0.1500,0.1500,0.1000,0.2500,-0.0500,0.7641
-0.1500,-0.1500,0.1500,-0.1500,0.1500,0.1000,0.4000,-0.3500,0.8691
-0.1500,-0.1500,0.1500,0.0000,0.1500,0.1000,0.4000,-0.2000,0.8330
-0.1500,-0.1500,0.1500,0.1500,0.1500,0.1000,0.4000,-0.0500,0.7276
-0.1500,0.0000,-0.1500,-0.1500,0.1500,0.2500,0.1000,-0.3500,0.6739
-0.1500,0.0000,-0.1500,0.0000,0.1500,0.2500,0.1000,-0.2000,0.6839
-0.1500,0.0000,-0.1500,0.1500,0.1500,0.2500,0.1000,-0.0500,0.5954
-0.1500,0.0000,0.0000,-0.1500,0.1500,0.2500,0.2500,-0.3500,0.7708
-0.1500,0.0000,0.0000,0.0000,0.1500,0.2500,0.2500,-0.2000,0.7440
-0.1500,0.0000,0.0000,0.1500,0.1500,0.2500,0.2500,-0.0500,0.6412
-0.1500,0.0000,0.1500,-0.1500,0.1500,0.2500,0.4000,-0.3500,0.8000
-0.1500,0.0000,0.1500,0.0000,0.1500,0.2500,0.4000,-0.2000,0.7487
-0.1500,0.0000,0.1500,0.1500,0.1500,0.2500,0.4000,-0.0500,0.6498
-0.1500,0.1500,-0.1500,-0.1500,0.1500,0.4000,0.1000,-0.3500,0.5740
-0.1500,0.1500,-0.1500,0.0000,0.1500,0.4000,0.1000,-0.2000,0.5401
-0.1500,0.1500,-0.1500,0.1500,0.1500,0.4000,0.1000,-0.0500,0.4544
-0.1500,0.1500,0.0000,-0.1500,0.1500,0.4000,0.2500,-0.3500,0.6662
-0.1500,0.1500,0.0000,0.0000,0.1500,0.4000,0.2500,-0.2000,0.6191
-0.1500,0.1500,0.0000,0.1500,0.1500,0.4000,0.2500,-0.0500,0.5299
-0.1500,0.1500,0.1500,-0.1500,0.1500,0.4000,0.4000,-0.3500,0.7103
-0.1500,0.1500,0.1500,0.0000,0.1500,0.4000,0.4000,-0.2000,0.6537
-0.1500,0.1500,0.1500,0.1500,0.1500,0.4000,0.4000,-0.0500,0.5677
0.0000,-0.1500,-0.1500,-0.1500,0.3000,0.1000,0.1000,-0.3500,0.8419
0.0000,-0.1500,-0.1500,0.0000,0.3000,0.1000,0.1000,-0.2000,0.8894
0.0000,-0.1500,-0.1500,0.1500,0.3000,0.1000,0.1000,-0.0500,0.8499
0.0000,-0.1500,0.0000,-0.1500,0.3000,0.1000,0.2500,-0.3500,0.8945
0.0000,-0.1500,0.0000,0.0000,0.3000,0.1000,0.2500,-0.2000,0.8930
0.0000,-0.1500,0.0000,0.1500,0.3000,0.1000,0.2500,-0.0500,0.8213
0.0000,-0.1500,0.1500,-0.1500,0.3000,0.1000,0.4000,-0.3500,0.8975
